Instance,Horizon,Time Mean,Time StDev,Solving Mean,Solving StDev,Grounding Mean,Grounding StDev
19,15,0.43776,0.03445158218647607,0.03571,0.006749927047866157,0.40205,0.03277452046818064
1,16,0.55741,0.04126462887219023,0.1185,0.015715590920477602,0.43891,0.032154015411309154
4,17,0.73249,0.07382267793691705,0.1966,0.02953648659546427,0.53589,0.051049371032641365
5,18,0.7817000000000001,0.05977221069792527,0.24659,0.030809973132809518,0.53511,0.040372982014803875
16,19,0.77562,0.04565190648435798,0.19368,0.01949508096464803,0.58194,0.036269702413051504
7,20,2.71781,0.31013550948323254,2.08171,0.2628149594853629,0.6361,0.05257961735897441
12,21,0.77037,0.04290455816240405,0.08664000000000001,0.010662423398424615,0.6837300000000001,0.039169369345822956
8,22,2.71714,0.19576774633491212,1.95393,0.1535953791787061,0.76321,0.04973877113012898
6,23,2.87401,0.7581890371540636,2.28006,0.6225294738874504,0.59395,0.13743916009374013
13,24,1.74002,0.14909477563352821,0.88595,0.09092547453377364,0.85407,0.06377267946750119
10,25,2.77532,0.34322395668782274,1.85561,0.2545165309866032,0.91971,0.09693935363322925
9,26,1.78578,0.10658970519016017,0.78298,0.046749057139522536,1.0028,0.06872092590008999
2,27,8.55535,2.449040910502136,7.78445,2.3046003285260603,0.7709,0.1493504116316571
3,28,4.99374,1.3318429065309345,4.06685,1.1558377203823147,0.92689,0.18002496431822387
